id	grid_id	short_name	full_name	Country	impact_P	impact_P_Bio_Health	impact_P_Life_Earth	impact_P_Math_Comp	impact_P_Phy_Eng	impact_P_Soc_Hum	P_top10	collab_P	P_int_collab	P_OA	TCS	TNCS	P_industry_collab	PA_F_MF	dimensions_wos
243	grid.9026.d	Univ Hamburg	Universität Hamburg	Germany	15752	8018	1907	588	3880	1360	2335.0	15752	9669.0	9778.0	165100.0	22615.0	1035.0	29.6	71,501
244	grid.10423.34	Hannover Med Sch	Hannover Medical School	Germany	6553	6017	216	50	110	160	1033.0	6553	3604.0	3983.0	74691.0	9529.0	710.0	33.5	75,725
245	grid.9122.8	Gottfried Wilhelm Leibniz Univ Hannover	Gottfried Wilhelm Leibniz Universität Hannover	Germany	4834	513	1001	664	2308	347	586.0	4834	2628.0	2386.0	46404.0	5987.0	271.0	17.5	66,637
246	grid.7700.0	Heidelberg Univ	Heidelberg University	Germany	21643	13784	1346	523	4871	1119	3657.0	21643	13902.0	14144.0	302601.0	37913.0	1911.0	26.7	79,966
247	grid.9613.d	Friedrich Schiller Univ Jena	Friedrich Schiller University Jena	Germany	8319	3502	1268	337	2631	583	1148.0	8319	4565.0	4350.0	89135.0	12526.0	553.0	26.5	77,323
248	grid.7645.0	Tech Univ Kaiserslautern	Technische Universität Kaiserslautern	Germany	2179	314	217	463	1061	125	252.0	2179	1041.0	1099.0	16170.0	2434.0	126.0	18.9	62,195
250	grid.5155.4	Univ Kassel	University of Kassel	Germany	1891	160	573	165	612	381	229.0	1891	1004.0	793.0	11973.0	2048.0	63.0	22.5	57,846
251	grid.9764.c	Kiel Univ	Kiel University	Germany	8011	3629	1879	381	1542	581	1243.0	8011	4711.0	4479.0	84107.0	11548.0	729.0	27.2	77,105
252	grid.6190.e	Univ Cologne	University of Cologne	Germany	10914	5949	1359	421	1983	1202	1615.0	10914	6652.0	6604.0	111069.0	15192.0	844.0	30.1	74,54
253	grid.9811.1	Univ Konstanz	University of Konstanz	Germany	3301	814	657	252	896	682	457.0	3301	2164.0	2423.0	26241.0	4294.0	171.0	27.8	75,677
254	grid.9647.c	Leipzig Univ	Leipzig University	Germany	8505	4958	1136	301	1376	735	1210.0	8505	4595.0	4788.0	78082.0	11317.0	649.0	32.2	74,141
256	grid.5807.a	Otto von Guericke Univ Magdeburg	Otto von Guericke University Magdeburg	Germany	4095	2237	146	447	944	321	543.0	4095	2106.0	2119.0	35513.0	5204.0	306.0	24.5	68,319
257	grid.5802.f	Johannes Gutenberg Univ Mainz	Johannes Gutenberg University Mainz	Germany	10550	4990	1105	225	3567	664	1581.0	10550	6518.0	6453.0	114040.0	14708.0	773.0	27.5	74,792
259	grid.5252.0	Ludwig-Maximilians Univ München	Ludwig-Maximilians-Universität München	Germany	20844	11848	2352	512	4391	1741	3667.0	20844	13200.0	13441.0	255338.0	33150.0	1762.0	32.5	77,663
260	grid.6936.a	Tech Univ Munich	Technical University of Munich	Germany	20650	8380	2886	2158	6488	738	3333.0	20650	12401.0	11897.0	230106.0	30415.0	1865.0	23.8	72,325
261	grid.5560.6	Carl von Ossietzky Univ Oldenburg	Carl von Ossietzky University of Oldenburg	Germany	3154	913	774	250	949	269	353.0	3154	1663.0	1711.0	23145.0	3570.0	169.0	30.0	70,12
263	grid.5659.f	Paderborn Univ	Paderborn University	Germany	1677	105	29	527	819	197	173.0	1677	863.0	752.0	11001.0	1738.0	52.0	16.8	61,014
265	grid.11348.3f	Univ Potsdam	University of Potsdam	Germany	5029	1008	1615	291	1422	694	696.0	5029	3248.0	3065.0	39479.0	6403.0	230.0	31.3	76,311
266	grid.7727.5	Univ Regensburg	Universität Regensburg	Germany	5907	3293	410	336	1515	354	826.0	5907	3026.0	3416.0	58316.0	7682.0	370.0	25.6	75,799
267	grid.11749.3a	Saarland Univ	Saarland University	Germany	5493	3268	257	390	1272	306	654.0	5493	2994.0	2828.0	47296.0	6561.0	502.0	26.4	76,306
269	grid.5719.a	Univ Stuttgart	University of Stuttgart	Germany	5130	518	470	822	3175	145	670.0	5130	2545.0	2316.0	41048.0	6357.0	383.0	16.0	64,409
270	grid.10392.39	Eberhard Karls Univ Tübingen	Eberhard Karls University of Tübingen	Germany	12931	7607	1783	378	1968	1196	1874.0	12931	7978.0	7803.0	136532.0	18474.0	1140.0	31.5	77,805
273	grid.8379.5	Julius Maximilian Univ Würzburg	Julius-Maximilians-Universität Würzburg	Germany	8947	4855	990	331	2353	418	1467.0	8947	5452.0	5646.0	110182.0	13478.0	668.0	27.5	75,172
275	grid.7107.1	Univ Aberdeen	University of Aberdeen	United Kingdom	6226	2554	1933	323	832	584	1138.0	6226	4236.0	5132.0	86262.0	11545.0	549.0	35.3	75,821
276	grid.7340.0	Univ Bath	University of Bath	United Kingdom	6244	1605	577	669	2331	1062	949.0	6244	3648.0	4773.0	62245.0	8611.0	382.0	29.2	77,586
277	grid.6572.6	Univ Birmingham	University of Birmingham	United Kingdom	15827	7180	1499	1006	4138	2004	2778.0	15827	9943.0	13396.0	186210.0	25078.0	1040.0	32.5	76,425
280	grid.5337.2	Univ Bristol	University of Bristol	United Kingdom	16102	6351	3061	1169	3870	1650	2932.0	16102	9824.0	14548.0	188936.0	28288.0	1122.0	33.4	76,451
281	grid.6518.a	Univ W England - Bristol	University of the West of England Bristol	United Kingdom	1999	675	218	273	287	546	219.0	1999	921.0	1604.0	14887.0	2487.0	69.0	37.8	62,511
282	grid.5335.0	Univ Cambridge	University of Cambridge	United Kingdom	35202	13524	4363	2104	11556	3655	7302.0	35202	24954.0	29673.0	537332.0	64880.0	2794.0	29.7	76,896
283	grid.9759.2	Univ Kent	University of Kent	United Kingdom	3787	931	490	602	555	1209	535.0	3787	2282.0	3339.0	27757.0	5073.0	177.0	32.8	70,056
286	grid.8356.8	Univ Essex	University of Essex	United Kingdom	2584	654	221	453	130	1127	355.0	2584	1618.0	2145.0	17274.0	3196.0	73.0	33.2	66,046
287	grid.12641.30	Univ Ulster	University of Ulster	United Kingdom	2448	1167	286	185	365	445	330.0	2448	1561.0	1927.0	20095.0	3011.0	97.0	37.5	70,71
288	grid.8096.7	Coventry Univ	Coventry University	United Kingdom	2471	542	237	306	682	705	296.0	2471	1394.0	1496.0	15131.0	2807.0	123.0	30.0	66,926
289	grid.7372.1	Univ Warwick	The University of Warwick	United Kingdom	12050	3155	716	1652	4605	1922	1908.0	12050	7895.0	10322.0	137107.0	19784.0	1048.0	25.3	76,046
290	grid.12026.37	Cranfield Univ	Cranfield University	United Kingdom	2870	147	666	473	1262	322	419.0	2870	1664.0	2477.0	25673.0	3753.0	284.0	18.9	75,42
291	grid.8241.f	Univ Dundee	University of Dundee	United Kingdom	4065	2632	509	143	378	403	770.0	4065	2462.0	3669.0	51676.0	6983.0	417.0	34.9	73,28
293	grid.8250.f	Durham Univ	Durham University	United Kingdom	7659	982	1455	584	3230	1409	1213.0	7659	5163.0	6988.0	77377.0	11128.0	383.0	23.7	76,502
295	grid.9531.e	Heriot-Watt Univ	Heriot-Watt University	United Kingdom	3650	358	526	756	1683	327	469.0	3650	2281.0	2345.0	30449.0	4592.0	248.0	21.2	70,864
296	grid.4305.2	Univ Edinburgh	The University of Edinburgh	United Kingdom	22362	8938	3653	1620	5797	2354	4064.0	22362	14755.0	19870.0	300390.0	39625.0	1731.0	33.5	74,048
299	grid.8391.3	Univ Exeter	University of Exeter	United Kingdom	9773	2912	3150	485	1727	1500	1893.0	9773	6212.0	8305.0	108386.0	16397.0	555.0	32.7	77,454
301	grid.8756.c	Univ Glasgow	University of Glasgow	United Kingdom	15021	6246	2069	1061	4155	1490	2823.0	15021	9769.0	13225.0	194053.0	26485.0	1392.0	29.7	73,534
302	grid.11984.35	Univ Strathclyde	University of Strathclyde	United Kingdom	6105	1057	416	862	3004	766	817.0	6105	3785.0	5520.0	58985.0	8571.0	815.0	23.5	69,693
303	grid.5475.3	Univ Surrey	University of Surrey	United Kingdom	5952	1695	496	895	1945	922	901.0	5952	3786.0	4855.0	50858.0	7912.0	507.0	31.7	75,377
305	grid.9481.4	Univ Hull	University of Hull	United Kingdom	3200	1184	521	164	823	508	503.0	3200	1961.0	2126.0	28231.0	4509.0	165.0	28.3	74,364
306	grid.9757.c	Keele Univ	Keele University	United Kingdom	2576	1348	221	41	629	337	304.0	2576	1508.0	2304.0	19676.0	3273.0	92.0	35.0	73,319
309	grid.9909.9	Univ Leeds	University of Leeds	United Kingdom	14148	5173	3027	806	3056	2086	2461.0	14148	8715.0	12594.0	136537.0	21277.0	1052.0	32.4	75,856
311	grid.9918.9	Univ Leicester	University of Leicester	United Kingdom	6377	2976	831	447	1279	844	1039.0	6377	4195.0	5229.0	81463.0	11096.0	530.0	27.8	74,626
314	grid.4425.7	Liverpool John Moores Univ	Liverpool John Moores University	United Kingdom	3531	1275	428	297	1122	410	506.0	3531	2645.0	3228.0	41156.0	5410.0	209.0	24.0	72,691
315	grid.10025.36	Univ Liverpool	University of Liverpool	United Kingdom	14534	6408	2260	1074	3377	1416	2404.0	14534	10127.0	11020.0	158870.0	23165.0	1052.0	32.0	76,075
316	grid.28577.3f	City Univ London	City, University London	United Kingdom	2699	781	42	325	478	1073	365.0	2699	1581.0	2417.0	18150.0	3595.0	114.0	39.8	68,502
318	grid.7445.2	Imperial Coll London	Imperial College London	United Kingdom	32217	15238	3550	2712	9661	1057	6593.0	32217	22749.0	27103.0	443873.0	59896.0	3413.0	27.8	78,661
320	grid.8991.9	London Sch Hyg & Trop Med	London School of Hygiene & Tropical Medicine	United Kingdom	9055	6885	1175	124	43	829	1801.0	9055	7233.0	8486.0	115002.0	17925.0	593.0	47.9	83,598
325	grid.83440.3b	Univ Coll London	University College London	United Kingdom	40263	22831	2810	1981	7740	4901	8166.0	40263	27194.0	35448.0	540628.0	74188.0	3040.0	36.0	77,706
326	grid.36316.31	Univ Greenwich	University of Greenwich	United Kingdom	4446	869	407	198	2636	335	718.0	4446	2795.0	3788.0	59955.0	6515.0	335.0	25.5	65,538
330	grid.6571.5	Loughborough Univ	Loughborough University	United Kingdom	5410	1324	651	708	1670	1057	731.0	5410	2947.0	4769.0	40230.0	6891.0	329.0	26.2	73,644
331	grid.25627.34	Manchester Metropolitan Univ	Manchester Metropolitan University	United Kingdom	2351	812	336	220	381	602	323.0	2351	1329.0	2006.0	17457.0	2845.0	117.0	32.8	66,407
332	grid.5379.8	Univ Manchester	The University of Manchester	United Kingdom	24312	10166	2099	1772	7385	2891	4116.0	24312	15122.0	19949.0	283467.0	38179.0	2194.0	31.8	78,072
334	grid.10837.3d	Open Univ	The Open University	United Kingdom	2570	368	470	247	803	683	325.0	2570	1616.0	2228.0	20766.0	3129.0	138.0	32.3	67,389
335	grid.1006.7	Newcastle Univ	Newcastle University	United Kingdom	11927	6060	1681	895	1729	1563	2138.0	11927	7361.0	9596.0	138145.0	19790.0	883.0	35.8	76,249
337	grid.4563.4	Univ Nottingham	University of Nottingham	United Kingdom	15955	5892	2174	1165	4564	2161	2566.0	15955	9433.0	12126.0	169834.0	23894.0	1067.0	31.1	74,996
339	grid.4991.5	Univ Oxford	University of Oxford	United Kingdom	41154	18382	5613	2353	9747	5060	8524.0	41154	28903.0	35031.0	562757.0	77558.0	3262.0	31.7	76,537
341	grid.11201.33	Univ Plymouth	University of Plymouth	United Kingdom	3610	1008	1135	205	636	626	563.0	3610	2227.0	3062.0	32840.0	5004.0	241.0	33.3	71,608
344	grid.4701.2	Univ Portsmouth	University of Portsmouth	United Kingdom	2943	613	457	305	947	621	417.0	2943	1986.0	2745.0	35456.0	4395.0	96.0	28.7	70,261
348	grid.11835.3e	Univ Sheffield	The University of Sheffield	United Kingdom	14190	5026	1706	1157	4269	2031	2360.0	14190	8255.0	12081.0	162963.0	22770.0	1167.0	31.7	76,198
349	grid.5491.9	Univ Southampton	University of Southampton	United Kingdom	16280	5234	2602	1588	5272	1585	2766.0	16280	11056.0	14591.0	195037.0	26865.0	1254.0	28.5	76,462
351	grid.11918.30	Univ Stirling	University of Stirling	United Kingdom	2357	732	780	105	60	680	383.0	2357	1360.0	2095.0	18703.0	3521.0	116.0	41.6	72,465
353	grid.4970.a	Roy Holloway - Univ London	Royal Holloway, University of London	United Kingdom	2983	499	722	227	799	736	474.0	2983	2005.0	2215.0	30903.0	4643.0	126.0	35.2	78,688
354	grid.4827.9	Swansea Univ	Swansea University	United Kingdom	4661	1436	792	480	1419	534	706.0	4661	2913.0	4063.0	52940.0	7380.0	351.0	28.6	71,296
355	grid.7728.a	Brunel Univ London	Brunel University London	United Kingdom	3776	761	228	677	1477	634	552.0	3776	2633.0	3046.0	32634.0	4953.0	198.0	31.4	74,109
357	grid.5685.e	Univ York	University of York	United Kingdom	8344	2659	1328	600	2117	1640	1362.0	8344	5039.0	7210.0	75880.0	12755.0	867.0	34.8	76,498
362	grid.5216.0	Natl & Kapodistrian Univ Athens	National and Kapodistrian University of Athens	Greece	11473	7256	1042	498	2221	456	1522.0	11473	7181.0	6020.0	108740.0	15351.0	717.0	35.6	75,984
363	grid.4241.3	Natl Tech Univ Athens	National Technical University of Athens	Greece	5080	267	580	991	3079	164	590.0	5080	3048.0	2386.0	38824.0	5642.0	570.0	20.3	73,071
365	grid.9594.1	Univ Ioannina	University of Ioannina	Greece	3512	1381	307	276	1444	104	462.0	3512	2340.0	1846.0	30813.0	4310.0	209.0	26.9	81,58
366	grid.8127.c	Univ Crete	University of Crete	Greece	3319	1537	432	176	989	184	454.0	3319	2254.0	1896.0	37114.0	4865.0	193.0	33.9	77,345
367	grid.12284.3d	Democritus Univ Thrace	Democritus University of Thrace	Greece	1898	819	370	256	267	187	181.0	1898	926.0	695.0	12350.0	1914.0	81.0	27.3	72,158
369	grid.11047.33	Univ Patras	University of Patras	Greece	3849	1229	627	517	1329	147	382.0	3849	2017.0	1464.0	28014.0	4019.0	179.0	30.2	72,025
371	grid.4793.9	Aristotle Univ Thessaloniki	Aristotle University of Thessaloniki	Greece	8842	3509	1752	764	2393	424	1127.0	8842	5044.0	3646.0	75218.0	11223.0	430.0	34.1	72,962
373	grid.410558.d	Univ Thessaly	University of Thessaly	Greece	2717	1418	572	175	313	240	311.0	2717	1451.0	1092.0	23398.0	3601.0	154.0	29.9	72,13
375	grid.267455.7	Univ Windsor	University of Windsor	Canada	2303	408	547	383	597	369	231.0	2303	1239.0	722.0	13716.0	2332.0	117.0	25.6	67,98
378	grid.6759.d	Budapest Univ Technol & Econ	Budapest University of Technology and Economics	Hungary	3073	356	220	626	1753	118	238.0	3073	1474.0	1776.0	16592.0	2635.0	327.0	20.4	69,017
382	grid.5591.8	Eötvös Loránd Univ	Eötvös Loránd University	Hungary	4187	817	823	352	1743	453	460.0	4187	2850.0	3019.0	40001.0	5054.0	265.0	32.2	77,683
384	grid.11804.3c	Semmelweis Univ	Semmelweis University	Hungary	3663	3259	98	15	181	111	503.0	3663	2358.0	2331.0	40497.0	5268.0	524.0	37.8	80,795
