id	university	publications	publications_frac	top_pubs	top_pubs_frac	collaboration	oa
289	Univ Warwick	12050	4478	1908	637	10416	10322
290	Cranfield Univ	2870	1404	419	181	2307	2477
291	Univ Dundee	4065	1597	770	225	3455	3669
293	Durham Univ	7659	3153	1213	423	6433	6988
295	Heriot-Watt Univ	3650	1318	469	140	3285	2345
296	Univ Edinburgh	22362	8280	4064	1246	19357	19870
299	Univ Exeter	9773	3686	1893	608	8539	8305
301	Univ Glasgow	15021	5438	2823	886	13156	13225
302	Univ Strathclyde	6105	2278	817	276	5356	5520
303	Univ Surrey	5952	2221	901	304	5231	4855
305	Univ Hull	3200	1078	503	140	2905	2126
306	Keele Univ	2576	937	304	95	2263	2304
309	Univ Leeds	14148	6127	2461	897	11792	12594
311	Univ Leicester	6377	2388	1039	270	5561	5229
314	Liverpool John Moores Univ	3531	1089	506	143	3269	3228
315	Univ Liverpool	14534	5072	2404	690	12954	11020
316	City Univ London	2699	1161	365	132	2245	2417
318	Imperial Coll London	32217	11779	6593	2089	28189	27103
320	London Sch Hyg & Trop Med	9055	2320	1801	394	8701	8486
325	Univ Coll London	40263	14923	8166	2669	35555	35448
326	Univ Greenwich	4446	1160	718	167	4249	3788
330	Loughborough Univ	5410	2420	731	276	4489	4769
331	Manchester Metropolitan Univ	2351	954	323	116	2016	2006
332	Univ Manchester	24312	10296	4116	1543	20222	19949
334	Open Univ	2570	973	325	87	2200	2228
335	Newcastle Univ	11927	4896	2138	728	10236	9596
337	Univ Nottingham	15955	7205	2566	952	13237	12126
339	Univ Oxford	41154	16088	8524	2991	35001	35031
341	Univ Plymouth	3610	1424	563	172	3087	3062
344	Univ Portsmouth	2943	1142	417	123	2529	2745
348	Univ Sheffield	14190	6281	2360	862	11519	12081
349	Univ Southampton	16280	6333	2766	872	13995	14591
351	Univ Stirling	2357	917	383	125	2053	2095
353	Roy Holloway - Univ London	2983	1013	474	130	2578	2215
354	Swansea Univ	4661	1951	706	230	3991	4063
355	Brunel Univ London	3776	1339	552	172	3331	3046
357	Univ York	8344	3255	1362	464	7146	7210
362	Natl & Kapodistrian Univ Athens	11473	4671	1522	384	9664	6020
363	Natl Tech Univ Athens	5080	2263	590	234	3865	2386
365	Univ Ioannina	3512	1213	462	117	3029	1846
366	Univ Crete	3319	1140	454	121	2995	1896
367	Democritus Univ Thrace	1898	930	181	66	1466	695
369	Univ Patras	3849	1887	382	155	3055	1464
371	Aristotle Univ Thessaloniki	8842	4246	1127	394	6986	3646
373	Univ Thessaly	2717	1276	311	96	2184	1092
375	Univ Windsor	2303	1219	231	99	1700	722
378	Budapest Univ Technol & Econ	3073	1639	238	110	2283	1776
382	Eötvös Loránd Univ	4187	1358	460	100	3787	3019
384	Semmelweis Univ	3663	1294	503	90	3310	2331
385	Univ Debrecen	3605	1581	377	99	2920	2574
389	Univ Pécs	2007	915	196	51	1674	1187
391	Univ Szeged	3620	1743	357	100	2989	2579
394	Univ Iceland	3724	1263	584	114	3275	2323
395	Univ Coll Cork	5800	2651	852	343	4658	3148
399	Trinity Coll Dublin	7916	3427	1346	488	6594	4806
400	Univ Coll Dublin	9769	3786	1428	424	8328	6001
401	Dublin City Univ	2356	882	284	86	2044	1349
402	Natl Univ Ireland - Galway	4506	1965	639	206	3720	2669
403	Univ Limerick	3071	1569	395	183	2319	1713
405	Univ Politec Marche	3999	1861	506	215	3255	1652
407	Univ Bari Aldo Moro	7117	2605	882	262	6289	3853
409	Univ Bologna	18288	7517	2413	725	15269	10033
410	Brescia Univ	4275	1628	538	139	3708	2268
411	Univ Cagliari	5099	1951	538	154	4438	2749
416	Univ Catania	7347	2799	1015	351	6310	3702
417	Gabriele d'Annunzio Univ	3564	1448	443	146	3129	1697
418	Univ Ferrara	5404	1881	615	162	4829	3101
419	Univ Florence	13152	5346	1749	572	11160	7181
421	Univ Genoa	9557	3210	1199	291	8463	5512
